Date Reported,Date of Occurrence,Time of Occurrence,City,Severity,Crime Description,Victim Age,Victim Gender,Weapon Used
04-01-2021,03-01-2021,8,Bandra East,3,Attempt to Murder,75,Male,Acid
11-06-2020,01-06-2020,23,Navi Mumbai Seawoods Phase 2,1,Theft,7,Female,None
06-10-2020,04-10-2020,12,Virar West,8,Drug Possession,63,Female,Blunt Object
29-11-2024,26-11-2024,1,Carter Road,8,Murder,40,Female,None
30-05-2023,24-05-2023,3,Mira Road Junction,9,Attempt to Murder,46,Male,Poison
18-09-2022,10-09-2022,5,Janupada (Kandivali East),5,Extortion,21,Other,Acid
20-08-2024,20-08-2024,8,Juhu Scheme,9,Chain Snatching,12,Female,Gun
27-09-2024,25-09-2024,15,Mira Road West,3,Murder,38,Male,Explosives
15-06-2024,09-06-2024,6,Malvani (Malad),5,Vehicle Theft,29,Male,Knife
23-06-2023,18-06-2023,1,Kora Kendra,5,Human Trafficking,80,Other,Poison
27-05-2020,17-05-2020,19,Vasai Industrial Area,5,Sexual Assault,64,Other,Blunt Object
21-06-2023,19-06-2023,5,16th Road (Khar),7,Extortion,46,Male,Blunt Object
10-10-2021,07-10-2021,16,Virar Market,1,Kidnapping,8,Male,Acid
03-07-2020,28-06-2020,0,I.C. Colony,8,Murder,67,Other,Gun
29-01-2024,27-01-2024,6,Panvel,7,Domestic Violence,58,Female,Explosives
28-04-2022,27-04-2022,4,Virar East,8,Sexual Assault,61,Male,Gun
03-12-2022,28-11-2022,10,Pali Naka (Khar),6,Chain Snatching,63,Other,Explosives
25-12-2021,19-12-2021,14,Jogeshwari West,5,Sexual Assault,61,Other,Blunt Object
12-12-2021,11-12-2021,23,Navi Mumbai,9,Chain Snatching,48,Male,Gun
27-05-2022,21-05-2022,11,Ambedkar Road (Khar),2,Attempt to Murder,67,Male,None
30-03-2023,28-03-2023,10,Kalina (Santacruz East),1,Murder,70,Female,Blunt Object
19-01-2020,09-01-2020,12,Shivaji Nagar (Santacruz East),3,Riot,77,Female,Gun
27-04-2024,25-04-2024,3,Navi Mumbai West,8,Riot,78,Female,None
05-09-2023,26-08-2023,5,Bhayandar East,8,Vehicle Theft,55,Male,Knife
06-02-2021,30-01-2021,19,Juhu,2,Vehicle Theft,5,Male,None
31-01-2022,26-01-2022,22,Belapur,4,Robbery,43,Male,Poison
22-07-2024,21-07-2024,15,Bhayandar Central,9,Domestic Violence,32,Male,Acid
01-11-2022,01-11-2022,20,Andheri Central,6,Sexual Assault,69,Female,None
10-06-2021,03-06-2021,7,Chakala,3,Robbery,19,Other,None
28-05-2023,20-05-2023,17,Yogi Nagar (Borivali),4,Human Trafficking,31,Male,Gun
26-02-2023,26-02-2023,1,Khar Danda,7,Riot,37,Male,Knife
19-05-2022,18-05-2022,0,18th Road (Khar),9,Fraud,26,Female,Poison
15-11-2021,10-11-2021,2,Goregaon Industrial Area,1,Murder,23,Other,Explosives
13-04-2021,13-04-2021,7,Sant Dnyaneshwar Nagar,8,Cyber Crime,9,Male,Gun
18-08-2020,10-08-2020,3,Khar West,9,Human Trafficking,38,Male,Acid
16-06-2023,16-06-2023,12,Bhayandar Industrial Area,9,Domestic Violence,33,Other,Acid
06-01-2022,30-12-2021,2,Mira Road Cantonment,1,Vehicle Theft,49,Male,Blunt Object
12-03-2023,10-03-2023,15,Jawahar Nagar (Goregaon),4,Sexual Assault,68,Female,None
27-02-2020,27-02-2020,5,Vashi Residential,5,Fraud,47,Other,Gun
03-05-2024,30-04-2024,23,Mira Road West,3,Chain Snatching,22,Male,Explosives
25-11-2024,19-11-2024,2,Kopar Khairane West,6,Robbery,50,Female,Acid
14-06-2021,09-06-2021,3,Kandivali West,2,Human Trafficking,9,Female,Acid
12-07-2021,07-07-2021,0,Bandra Reclamation,2,Murder,48,Other,Acid
09-09-2021,04-09-2021,14,Pathanwadi (Malad),8,Robbery,58,Female,Gun
16-07-2020,08-07-2020,19,Pali Hill,8,Attempt to Murder,24,Other,Acid
30-01-2020,28-01-2020,18,Santacruz East,8,Vehicle Theft,15,Male,Gun
11-08-2021,06-08-2021,7,Carter Road,2,Murder,21,Female,Explosives
04-11-2021,27-10-2021,21,Kandivali West,1,Robbery,49,Male,Acid
29-08-2022,19-08-2022,7,Mount Mary Area,6,Robbery,7,Male,Gun
23-09-2021,15-09-2021,14,Nerul,2,Kidnapping,77,Female,Poison
24-06-2021,17-06-2021,14,Vasai East,4,Extortion,30,Male,Acid
10-05-2023,04-05-2023,9,Andheri West,6,Murder,64,Female,Explosives
06-04-2024,01-04-2024,23,Mhatre Wadi (Dahisar),6,Theft,74,Other,Explosives
08-12-2023,08-12-2023,17,Liliya Nagar (Malad),7,Vehicle Theft,10,Other,Gun
10-12-2023,05-12-2023,20,Khar East,9,Attempt to Murder,17,Other,None
13-01-2024,04-01-2024,6,Navi Mumbai Industrial Area,1,Riot,20,Other,Explosives
20-02-2022,17-02-2022,14,Liliya Nagar (Malad),5,Sexual Assault,79,Female,Gun
09-01-2024,03-01-2024,6,Chapel Road,6,Cyber Crime,18,Female,Poison
04-04-2024,29-03-2024,16,Pali Naka (Khar),6,Kidnapping,66,Female,Acid
28-07-2022,19-07-2022,14,Sainik Nagar (Jogeshwari),3,Vehicle Theft,57,Female,Acid
17-09-2021,08-09-2021,13,Virar Station Area,9,Sexual Assault,71,Female,None
14-12-2021,07-12-2021,21,New Panvel,1,Cyber Crime,63,Male,Knife
25-05-2020,22-05-2020,10,Navi Mumbai Garden City,7,Attempt to Murder,56,Female,Gun
19-10-2024,10-10-2024,22,Mount Mary Area,1,Murder,61,Other,Gun
20-04-2021,19-04-2021,0,Gokuldham (Goregaon),5,Fraud,17,Male,Acid
17-07-2021,13-07-2021,14,Thakur Village (Kandivali East),2,Vehicle Theft,52,Other,Blunt Object
26-05-2024,21-05-2024,8,Virar Market,9,Riot,19,Other,None
13-02-2020,10-02-2020,20,Hanuman Nagar (Kandivali East),4,Cyber Crime,78,Other,Knife
04-09-2021,27-08-2021,15,Vasai Road Area,3,Theft,77,Female,Gun
09-04-2022,06-04-2022,12,NESCO Colony (Goregaon),1,Riot,25,Other,Gun
01-11-2023,29-10-2023,20,Anand Nagar (Dahisar),9,Fraud,63,Male,None
10-12-2021,01-12-2021,5,Bandra East,7,Chain Snatching,63,Other,Poison
20-08-2022,13-08-2022,4,Mira Road Colony,7,Murder,69,Male,Explosives
16-08-2021,14-08-2021,7,Janupada (Kandivali East),9,Chain Snatching,36,Female,Explosives
17-03-2023,07-03-2023,0,Rawalpada (Dahisar),8,Chain Snatching,70,Male,Knife
20-09-2020,12-09-2020,1,Gokuldham (Goregaon),1,Chain Snatching,7,Male,None
30-11-2022,27-11-2022,14,Navi Mumbai Tech Park,9,Domestic Violence,47,Female,Explosives
06-01-2020,30-12-2019,8,Nehru Nagar (Vile Parle),3,Theft,69,Female,Poison
26-12-2024,18-12-2024,21,14th Road (Khar),2,Kidnapping,59,Female,None
14-05-2022,14-05-2022,14,Janupada (Kandivali East),7,Vehicle Theft,7,Other,Acid
10-04-2023,05-04-2023,4,Dnyaneshwar Marg (Jogeshwari),1,Drug Possession,16,Male,Poison
14-03-2024,10-03-2024,22,Irla (Vile Parle),1,Attempt to Murder,55,Female,Gun
03-09-2022,24-08-2022,12,Yashwant Nagar (Santacruz East),3,Human Trafficking,30,Female,Acid
22-12-2023,13-12-2023,9,Vasai East,9,Kidnapping,62,Female,None
11-04-2021,03-04-2021,12,Seawoods,3,Human Trafficking,62,Male,Blunt Object
16-10-2024,09-10-2024,4,Damu Nagar (Kandivali East),6,Robbery,78,Other,Acid
24-10-2022,18-10-2022,5,Andheri West,9,Vehicle Theft,72,Male,Gun
15-09-2022,06-09-2022,5,Oshiwara,5,Attempt to Murder,29,Other,Acid
29-09-2024,25-09-2024,11,Agripada (Santacruz East),9,Kidnapping,52,Male,Acid
15-12-2024,11-12-2024,14,Bhayandar West,5,Sexual Assault,55,Female,None
31-05-2020,28-05-2020,5,Kora Kendra,1,Chain Snatching,38,Male,Gun
16-07-2024,08-07-2024,17,Vashi,8,Robbery,69,Other,Knife
13-12-2024,03-12-2024,21,Avdhut Nagar (Dahisar),4,Vehicle Theft,11,Female,Poison
28-01-2021,18-01-2021,0,18th Road (Khar),8,Sexual Assault,63,Male,None
04-03-2024,04-03-2024,20,New Panvel,3,Attempt to Murder,49,Female,Explosives
27-01-2020,20-01-2020,21,Kopar Khairane West,7,Human Trafficking,63,Other,Gun
18-11-2023,11-11-2023,0,Andheri East,8,Murder,69,Male,Gun
12-02-2022,06-02-2022,23,Jogeshwari Market Area,3,Riot,75,Male,Poison
26-04-2023,19-04-2023,5,Kopar Khairane West,3,Vehicle Theft,68,Male,Blunt Object
06-11-2023,29-10-2023,4,Poisar (Kandivali West),4,Human Trafficking,35,Female,Poison
26-02-2020,20-02-2020,2,Prabhat Colony (Santacruz East),7,Riot,30,Female,Explosives
01-12-2021,24-11-2021,14,Vasai East Town,9,Vehicle Theft,31,Female,Gun
01-12-2020,21-11-2020,12,Navi Mumbai Central,3,Chain Snatching,15,Female,None
03-12-2020,27-11-2020,7,Dindoshi (Malad),7,Murder,29,Male,Blunt Object
26-02-2021,21-02-2021,12,Bandra Reclamation,3,Riot,58,Male,Poison
20-04-2021,17-04-2021,19,Jogeshwari Industrial Area,8,Kidnapping,73,Female,Poison
23-07-2023,18-07-2023,20,Shivaji Nagar (Santacruz East),7,Drug Possession,41,Female,None
23-03-2021,21-03-2021,11,Vasai Village,5,Drug Possession,30,Male,Knife
11-06-2023,10-06-2023,0,Ambujwadi (Malad),8,Fraud,25,Other,Explosives
07-05-2022,03-05-2022,14,Virar Industrial Area,9,Theft,61,Female,Explosives
26-12-2021,19-12-2021,20,Sainik Nagar (Jogeshwari),8,Chain Snatching,64,Other,Explosives
21-05-2024,11-05-2024,22,Virar East,3,Riot,8,Female,Poison
14-04-2024,12-04-2024,5,Borivali Industrial Area,5,Vehicle Theft,17,Female,Gun
25-01-2022,24-01-2022,20,Khar East,7,Fraud,46,Female,Acid
10-11-2021,07-11-2021,8,Goregaon East,6,Theft,25,Male,Blunt Object
05-03-2020,04-03-2020,21,KC Marg,9,Kidnapping,42,Female,Poison
19-08-2023,19-08-2023,12,Kamothe,4,Robbery,16,Male,Knife
07-12-2022,07-12-2022,10,Virar East,1,Theft,41,Male,Poison
17-08-2020,08-08-2020,12,Bhayandar Industrial Area,1,Riot,71,Male,Gun
06-12-2020,01-12-2020,20,Bandra Kurla Complex,7,Riot,40,Other,Blunt Object
22-02-2021,17-02-2021,10,Hanuman Nagar (Kandivali East),8,Chain Snatching,8,Male,Acid
25-08-2024,15-08-2024,21,Davri Nagar (Santacruz East),1,Robbery,9,Female,Blunt Object
27-03-2020,18-03-2020,13,Navi Mumbai Seawoods Phase 2,4,Kidnapping,7,Other,Gun
06-12-2023,27-11-2023,5,Bhayandar Camp,8,Drug Possession,20,Female,Knife
15-02-2022,12-02-2022,2,Charkop (Kandivali West),2,Riot,78,Male,Gun
05-08-2024,30-07-2024,19,Shivaji Nagar (Santacruz East),9,Extortion,12,Male,Blunt Object
10-07-2021,05-07-2021,21,Janupada (Kandivali East),7,Human Trafficking,46,Female,Explosives
31-05-2023,24-05-2023,1,Mira Colony,4,Extortion,75,Other,Blunt Object
17-11-2023,15-11-2023,7,Vile Parle West,8,Kidnapping,12,Female,None
24-05-2023,20-05-2023,12,Pandurang Wadi (Goregaon),3,Riot,39,Male,Gun
10-06-2023,08-06-2023,12,Kopar Khairane West,6,Theft,29,Female,Acid
11-05-2022,11-05-2022,23,Pandurang Wadi (Goregaon),9,Robbery,55,Female,Knife
20-07-2024,11-07-2024,8,Nehru Nagar (Vile Parle),2,Murder,12,Female,Blunt Object
29-08-2020,26-08-2020,21,Pratiksha Nagar (Jogeshwari),6,Chain Snatching,25,Other,Explosives
16-11-2022,16-11-2022,15,Bhayandar Market,3,Drug Possession,55,Male,Poison
10-06-2024,03-06-2024,10,Yogi Nagar (Borivali),9,Cyber Crime,19,Other,Poison
27-04-2020,22-04-2020,12,Shimpoli,3,Drug Possession,56,Female,Blunt Object
05-10-2020,25-09-2020,8,Vazira Naka,8,Sexual Assault,73,Female,Gun
16-09-2021,13-09-2021,15,Juhu Beach Area,5,Human Trafficking,65,Female,None
14-07-2022,06-07-2022,6,Kopar Khairane,4,Extortion,48,Male,Poison
11-03-2020,06-03-2020,13,Navi Mumbai Tech Park,1,Chain Snatching,52,Female,Gun
03-04-2023,02-04-2023,9,Gokuldham (Goregaon),1,Fraud,9,Female,None
22-08-2020,19-08-2020,19,Juhu Koliwada,6,Extortion,35,Other,Acid
18-01-2021,14-01-2021,9,Bhayandar West,6,Robbery,70,Male,Knife
03-07-2024,01-07-2024,21,Kandivali East,4,Domestic Violence,25,Male,None
27-09-2021,25-09-2021,0,Ranwar,5,Chain Snatching,5,Male,None
17-10-2021,15-10-2021,0,Kamothe,9,Extortion,12,Female,None
17-03-2021,10-03-2021,5,Behram Baug (Jogeshwari),5,Fraud,41,Male,Gun
09-10-2024,30-09-2024,14,Bhayandar East,2,Theft,58,Male,Blunt Object
13-10-2022,07-10-2022,13,Bhayandar East,1,Cyber Crime,68,Male,Knife
04-02-2024,02-02-2024,15,Pandurang Wadi (Goregaon),6,Human Trafficking,9,Female,Blunt Object
08-12-2023,29-11-2023,21,Virar Station Area,6,Drug Possession,5,Female,Poison
22-02-2023,17-02-2023,14,Navi Mumbai Garden City,2,Domestic Violence,47,Male,Blunt Object
22-04-2024,22-04-2024,12,Bandra Fort Area,5,Human Trafficking,63,Female,Poison
16-01-2022,14-01-2022,11,Nehru Nagar (Vile Parle),5,Chain Snatching,49,Male,Explosives
10-08-2024,02-08-2024,10,Juhu Nagar,3,Chain Snatching,27,Other,Poison
09-11-2023,08-11-2023,8,Kandivali East,8,Theft,61,Female,Acid
06-01-2023,31-12-2022,11,Mhatre Wadi (Dahisar),4,Vehicle Theft,79,Other,Acid
27-02-2021,25-02-2021,19,Jawahar Nagar (Goregaon),4,Drug Possession,69,Male,Poison
12-06-2022,08-06-2022,9,Jogeshwari West,6,Attempt to Murder,30,Other,Knife
18-01-2024,16-01-2024,16,Vazira Naka,7,Human Trafficking,38,Female,Gun
18-04-2024,09-04-2024,12,Chakala Naka,3,Domestic Violence,69,Female,Knife
18-02-2023,17-02-2023,3,Bandra East,7,Riot,46,Other,None
04-11-2022,04-11-2022,20,Lokhandwala,7,Vehicle Theft,21,Female,Blunt Object
09-01-2020,30-12-2019,16,Hanuman Nagar (Kandivali East),8,Kidnapping,68,Other,Poison
16-09-2020,06-09-2020,12,Lokhandwala,9,Fraud,22,Female,Poison
29-06-2020,29-06-2020,11,Khar Market Area,8,Riot,48,Male,Blunt Object
02-12-2022,25-11-2022,3,Jogeshwari Market Area,8,Robbery,61,Male,Explosives
06-09-2022,29-08-2022,13,Virar East Colony,4,Domestic Violence,63,Other,Knife
25-11-2021,17-11-2021,14,Jogeshwari Industrial Area,7,Vehicle Theft,59,Other,Poison
26-05-2022,17-05-2022,23,Goregaon East,4,Theft,28,Other,Gun
06-06-2022,29-05-2022,13,Tata Blocks,3,Riot,41,Other,Poison
31-03-2021,21-03-2021,10,Ambedkar Road (Khar),2,Vehicle Theft,32,Other,Explosives
28-05-2024,28-05-2024,12,Bhayandar East,4,Riot,32,Female,Poison
30-08-2020,20-08-2020,13,Poisar (Kandivali West),8,Drug Possession,19,Male,Knife
19-07-2020,13-07-2020,15,Vasai West Town,8,Vehicle Theft,26,Male,Acid
16-11-2021,06-11-2021,7,Jogeshwari Industrial Area,2,Robbery,20,Male,None
11-02-2023,03-02-2023,1,Bandra East,1,Vehicle Theft,12,Other,Acid
13-10-2024,03-10-2024,3,Navi Mumbai South,7,Attempt to Murder,50,Other,Blunt Object
02-08-2024,28-07-2024,22,14th Road (Khar),8,Drug Possession,37,Female,Knife
22-01-2022,20-01-2022,9,Navi Mumbai Seawoods Phase 2,9,Vehicle Theft,63,Male,Acid
01-02-2024,24-01-2024,20,Shimpoli,4,Sexual Assault,54,Female,Knife
18-04-2022,12-04-2022,0,Navi Mumbai Harbour,7,Murder,80,Other,Blunt Object
07-04-2022,05-04-2022,16,Davri Nagar (Santacruz East),8,Fraud,54,Male,Gun
20-11-2020,17-11-2020,6,NL Complex (Dahisar),3,Robbery,26,Male,Acid
10-06-2023,07-06-2023,2,Avdhut Nagar (Dahisar),2,Riot,56,Male,Gun
16-04-2024,14-04-2024,18,Khar East,1,Attempt to Murder,19,Female,Blunt Object
16-12-2024,08-12-2024,11,Pandurang Wadi (Goregaon),7,Robbery,57,Female,Acid
10-03-2023,04-03-2023,5,Lokhandwala,2,Kidnapping,32,Other,Poison
21-03-2020,14-03-2020,17,Goregaon East,6,Robbery,36,Other,Knife
13-02-2022,10-02-2022,20,Pali Hill,8,Drug Possession,62,Other,Explosives
22-03-2020,12-03-2020,8,Kopar Khairane West,5,Human Trafficking,23,Male,Knife
25-07-2023,21-07-2023,21,16th Road (Khar),4,Domestic Violence,15,Other,Knife
22-06-2022,12-06-2022,16,Bhayandar Village,3,Robbery,33,Female,Acid
25-11-2020,22-11-2020,2,Poisar (Kandivali West),3,Chain Snatching,12,Other,Explosives
14-02-2021,07-02-2021,11,Chakala,6,Extortion,62,Female,Poison
24-03-2020,17-03-2020,10,Ambujwadi (Malad),5,Domestic Violence,34,Other,Gun
12-04-2024,03-04-2024,13,Anand Nagar (Dahisar),1,Attempt to Murder,17,Male,None
24-01-2021,21-01-2021,17,Yashwant Nagar (Santacruz East),9,Theft,36,Male,Blunt Object
17-06-2023,15-06-2023,4,Juhu Scheme,4,Extortion,69,Other,Poison
01-02-2020,22-01-2020,15,Andheri East,9,Attempt to Murder,63,Other,Knife
25-11-2021,16-11-2021,15,Santacruz East,5,Riot,62,Male,Knife
19-11-2024,16-11-2024,10,Juhu Scheme,7,Human Trafficking,32,Female,Blunt Object
13-07-2022,08-07-2022,6,Momin Nagar (Jogeshwari),8,Cyber Crime,60,Male,Explosives
17-06-2024,15-06-2024,8,Bhayandar West,4,Domestic Violence,13,Male,Knife
31-03-2023,28-03-2023,17,Virar West,4,Attempt to Murder,28,Male,Knife
23-04-2020,14-04-2020,3,Behram Baug (Jogeshwari),6,Extortion,63,Female,Blunt Object
14-06-2024,08-06-2024,1,Dahisar Industrial Area,8,Cyber Crime,19,Other,Knife
02-11-2022,29-10-2022,9,Juhu Scheme,2,Attempt to Murder,40,Female,Blunt Object
13-10-2020,04-10-2020,5,Andheri West,4,Riot,61,Male,Explosives
03-06-2023,31-05-2023,20,Vakola (Santacruz East),7,Vehicle Theft,5,Male,Poison
21-05-2024,14-05-2024,18,Andheri East,3,Kidnapping,77,Female,Explosives
12-07-2022,05-07-2022,15,Thakur Complex (Kandivali East),3,Extortion,70,Male,Gun
02-07-2023,28-06-2023,3,Navi Mumbai Tech Park,5,Chain Snatching,42,Other,Acid
11-11-2024,07-11-2024,15,NESCO Colony (Goregaon),6,Drug Possession,7,Male,None
08-07-2021,04-07-2021,5,Aarey Milk Colony,6,Fraud,47,Female,Gun
03-07-2024,23-06-2024,7,Chapel Road,4,Attempt to Murder,53,Female,Explosives
24-03-2023,16-03-2023,9,Mira Colony,6,Chain Snatching,20,Female,Explosives
29-09-2021,23-09-2021,16,I.C. Colony,2,Drug Possession,47,Male,Explosives
11-11-2023,07-11-2023,23,Airoli Industrial Area,3,Domestic Violence,32,Female,Explosives
19-03-2021,14-03-2021,6,Santacruz East,5,Domestic Violence,27,Other,Knife
21-09-2023,16-09-2023,7,Subhash Nagar,4,Extortion,37,Male,Explosives
14-06-2024,09-06-2024,3,Sunder Nagar (Malad),6,Chain Snatching,11,Female,Gun
15-08-2023,06-08-2023,2,Virar Station Area,1,Human Trafficking,46,Other,Blunt Object
03-08-2023,27-07-2023,11,Juhu Market,1,Vehicle Theft,63,Female,Knife
03-10-2024,26-09-2024,16,Four Bungalows,4,Vehicle Theft,62,Female,None
26-04-2022,16-04-2022,15,Navi Mumbai South,3,Domestic Violence,26,Female,Acid
23-11-2022,23-11-2022,11,Bhayandar Central,1,Riot,20,Male,Gun
22-01-2022,22-01-2022,3,Goregaon Central,5,Domestic Violence,30,Female,Explosives
08-06-2020,06-06-2020,12,Dahisar West,3,Vehicle Theft,38,Other,Blunt Object
15-07-2021,08-07-2021,7,Shimpoli,4,Fraud,52,Other,Acid
28-07-2021,26-07-2021,0,Vasai West,9,Riot,45,Male,Knife
19-04-2022,14-04-2022,6,Ambujwadi (Malad),8,Fraud,54,Other,Blunt Object
05-12-2020,29-11-2020,22,Mira Road Junction,3,Sexual Assault,12,Male,Knife
04-02-2024,01-02-2024,10,Andheri Central,7,Attempt to Murder,40,Male,Poison
21-07-2020,14-07-2020,19,Vasai East,8,Drug Possession,79,Male,Poison
20-12-2022,13-12-2022,15,Dahisar West,3,Robbery,11,Male,Explosives
26-05-2021,26-05-2021,16,Bandra East,4,Extortion,42,Female,Poison
15-08-2021,10-08-2021,11,Mira Road Colony,5,Vehicle Theft,70,Female,Gun
09-11-2023,08-11-2023,11,Anand Nagar (Dahisar),2,Riot,67,Other,None
14-07-2023,11-07-2023,11,Kandivali East,6,Fraud,13,Other,Gun
08-06-2020,08-06-2020,4,Nerul,8,Riot,45,Other,Knife
23-03-2020,19-03-2020,13,Anand Nagar (Dahisar),6,Cyber Crime,64,Male,Blunt Object
18-01-2023,09-01-2023,1,Khar Danda,6,Sexual Assault,62,Male,Knife
16-03-2021,08-03-2021,8,Kandivali West,7,Human Trafficking,21,Female,Knife
25-01-2021,21-01-2021,10,Four Bungalows,3,Robbery,62,Female,Knife
28-09-2024,20-09-2024,4,Thakur Village (Kandivali East),4,Attempt to Murder,71,Other,None
11-03-2022,03-03-2022,17,Khar West,9,Chain Snatching,47,Other,Gun
23-06-2024,20-06-2024,12,Navi Mumbai Garden City,6,Theft,19,Male,Knife
03-04-2021,02-04-2021,10,Ekta Colony,1,Murder,6,Other,None
02-06-2022,02-06-2022,23,I.C. Colony,2,Fraud,7,Female,None
23-06-2022,15-06-2022,5,Vakola (Santacruz East),3,Extortion,77,Female,Blunt Object
28-08-2021,22-08-2021,20,Rani Sati Marg (Malad),4,Attempt to Murder,51,Female,Gun
17-09-2021,11-09-2021,17,NL Complex (Dahisar),5,Attempt to Murder,15,Female,Acid
26-09-2023,24-09-2023,20,Juhu,5,Sexual Assault,52,Male,Blunt Object
27-07-2021,23-07-2021,4,Juhu Scheme,2,Fraud,40,Male,Blunt Object
12-02-2021,12-02-2021,7,Navi Mumbai West,3,Human Trafficking,32,Male,Poison
19-04-2024,18-04-2024,0,I.C. Colony,6,Chain Snatching,18,Female,Explosives
17-01-2021,12-01-2021,19,Damu Nagar (Kandivali East),4,Robbery,34,Male,Acid
22-10-2023,15-10-2023,7,Bangur Nagar (Goregaon),3,Theft,35,Female,None
03-06-2024,28-05-2024,18,Juhu,3,Murder,12,Male,Explosives
02-12-2024,29-11-2024,15,Ghansoli,7,Extortion,27,Female,Blunt Object
02-02-2024,24-01-2024,20,Bhayandar Market,3,Theft,15,Other,Acid
09-02-2022,30-01-2022,13,Juhu Market,1,Theft,15,Female,None
12-12-2021,10-12-2021,18,Vashi Residential,4,Domestic Violence,64,Female,Blunt Object
13-03-2020,03-03-2020,20,Virar West,1,Attempt to Murder,37,Other,None
19-08-2024,13-08-2024,10,Mira Road Colony,4,Kidnapping,61,Female,Poison
07-09-2020,07-09-2020,13,Sahar Airport,9,Riot,74,Female,None
01-04-2020,27-03-2020,20,Navi Mumbai Tech Park,9,Domestic Violence,13,Other,Explosives
01-12-2020,28-11-2020,1,Tata Blocks,7,Drug Possession,63,Male,Explosives
16-02-2023,07-02-2023,18,Motilal Nagar (Goregaon),1,Extortion,40,Male,Knife
10-05-2023,08-05-2023,21,New Panvel,6,Domestic Violence,51,Female,None
02-10-2020,25-09-2020,7,Patilwadi (Jogeshwari),3,Kidnapping,69,Male,Acid
07-01-2022,29-12-2021,13,Kora Kendra,7,Chain Snatching,19,Other,Gun
10-08-2023,02-08-2023,10,Vashi Residential,1,Cyber Crime,57,Male,Acid
25-03-2024,20-03-2024,15,Mhatre Wadi (Dahisar),4,Vehicle Theft,67,Female,Knife
11-11-2022,04-11-2022,19,NESCO Colony (Goregaon),2,Attempt to Murder,19,Other,None
01-08-2024,30-07-2024,8,Malad Industrial Area,5,Cyber Crime,57,Male,Poison
20-12-2021,13-12-2021,21,Airoli Industrial Area,3,Theft,70,Female,Blunt Object
02-10-2022,27-09-2022,11,Jankalyan Nagar (Malad),3,Riot,15,Female,Knife
02-04-2021,29-03-2021,4,Marol,1,Robbery,12,Male,Gun
08-09-2021,29-08-2021,15,Jogeshwari Industrial Area,2,Human Trafficking,75,Other,Gun
24-04-2020,21-04-2020,20,Jogeshwari Market Area,6,Domestic Violence,34,Male,None
21-01-2023,19-01-2023,21,Momin Nagar (Jogeshwari),2,Drug Possession,64,Other,None
16-04-2021,13-04-2021,6,Chakala Naka,9,Chain Snatching,62,Male,Acid
12-12-2020,12-12-2020,4,Ambujwadi (Malad),5,Attempt to Murder,77,Other,None
28-08-2022,22-08-2022,9,Shimpoli,8,Sexual Assault,56,Other,Gun
20-07-2022,14-07-2022,16,Motilal Nagar (Goregaon),3,Murder,38,Male,Knife
22-09-2023,12-09-2023,8,Vashi Residential,5,Chain Snatching,61,Other,Knife
31-07-2022,22-07-2022,5,Malvani (Malad),3,Fraud,65,Male,Acid
11-03-2021,06-03-2021,20,Dahisar East,9,Domestic Violence,71,Male,Poison
04-03-2021,02-03-2021,23,16th Road (Khar),4,Human Trafficking,22,Female,Poison
19-11-2020,10-11-2020,6,Indiraji Nagar,8,Drug Possession,80,Male,Explosives
10-11-2022,10-11-2022,10,Pali Naka (Khar),4,Extortion,27,Male,Explosives
02-11-2022,23-10-2022,5,Vakola Pipeline (Santacruz East),1,Kidnapping,68,Male,Acid
31-07-2021,29-07-2021,9,Thakur Village (Kandivali East),3,Human Trafficking,48,Male,Knife
29-09-2022,25-09-2022,22,I.C. Colony,2,Human Trafficking,39,Male,None
08-08-2024,06-08-2024,11,Bhayandar West,1,Chain Snatching,75,Other,Blunt Object
28-09-2022,26-09-2022,16,Belapur CBD,1,Riot,67,Other,Acid
29-03-2023,19-03-2023,1,Virar East Colony,7,Murder,55,Male,Poison
05-07-2023,28-06-2023,16,Dahisar Industrial Area,3,Fraud,64,Female,Knife
05-09-2024,03-09-2024,11,Navi Mumbai Seawoods Phase 2,9,Robbery,67,Other,None
08-07-2020,30-06-2020,13,Damu Nagar (Kandivali East),1,Attempt to Murder,74,Male,Explosives
31-07-2024,31-07-2024,17,Sant Dnyaneshwar Nagar,5,Attempt to Murder,55,Female,None
06-09-2020,06-09-2020,5,I.C. Colony,6,Extortion,32,Other,None
03-04-2020,03-04-2020,11,Dahanukar Wadi (Kandivali West),3,Kidnapping,74,Female,Gun
03-06-2022,26-05-2022,16,Mira Road Colony,8,Riot,50,Female,Poison
21-04-2022,12-04-2022,8,Vile Parle East,5,Fraud,57,Female,None
16-11-2024,11-11-2024,17,Bhayandar East,6,Drug Possession,40,Other,Poison
16-03-2024,15-03-2024,6,Four Bungalows,9,Human Trafficking,62,Other,Poison
23-08-2020,19-08-2020,7,Bhayandar Camp,9,Kidnapping,35,Female,Poison
07-02-2022,07-02-2022,12,Khar Market Area,3,Murder,71,Female,Gun
17-01-2021,14-01-2021,17,Pratiksha Nagar (Jogeshwari),1,Extortion,13,Male,Knife
23-06-2022,13-06-2022,4,Dahisar East,7,Kidnapping,17,Other,None
07-12-2022,30-11-2022,11,Goregaon Industrial Area,2,Domestic Violence,70,Female,Gun
30-08-2020,28-08-2020,12,Ambujwadi (Malad),4,Drug Possession,46,Other,Blunt Object
